id,strain,mu,T,filedic,n,nerr,totN,kap,kaperr,rhos,rhoserr,estsize,supsize,boxdims,com_ave,com_err
455d78d7-0276-4c79-b809-42465429efa0,0.15,-93.0,0.7,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.700-010.000--093.000-0.00313-455d78d7-0276-4c79-b809-42465429efa0.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.700-010.000--093.000-0.00313-455d78d7-0276-4c79-b809-42465429efa0.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.700-010.000--093.000-0.00313-455d78d7-0276-4c79-b809-42465429efa0.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.700-010.000--093.000-0.00313-455d78d7-0276-4c79-b809-42465429efa0.dat'}",60.232632777849986,0.01667373466210876,144,0.2576669981744993,0.004509793955790518,0.43427322942884,0.025863730414035578,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
e28ab33d-2cad-4e1f-8884-2eb4e9f0a204,0.15,-93.0,0.8,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.800-010.000--093.000-0.00313-e28ab33d-2cad-4e1f-8884-2eb4e9f0a204.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.800-010.000--093.000-0.00313-e28ab33d-2cad-4e1f-8884-2eb4e9f0a204.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.800-010.000--093.000-0.00313-e28ab33d-2cad-4e1f-8884-2eb4e9f0a204.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.800-010.000--093.000-0.00313-e28ab33d-2cad-4e1f-8884-2eb4e9f0a204.dat'}",60.435002777633336,0.018237984011397753,144,0.2700278144413422,0.004653557883280763,0.3209768551331783,0.020470128402572528,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
ae235117-771d-4735-b2db-bbfd671c3de4,0.15,-93.0,0.83,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.830-010.000--093.000-0.00313-ae235117-771d-4735-b2db-bbfd671c3de4.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.830-010.000--093.000-0.00313-ae235117-771d-4735-b2db-bbfd671c3de4.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.830-010.000--093.000-0.00313-ae235117-771d-4735-b2db-bbfd671c3de4.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.830-010.000--093.000-0.00313-ae235117-771d-4735-b2db-bbfd671c3de4.dat'}",60.51655777815,0.0169377852779281,144,0.22494094990629893,0.004112987537163506,0.2827873141627633,0.02069428117488596,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
eb75d7b4-fe46-4973-a49b-7a08f15912ed,0.15,-93.0,0.65,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.650-010.000--093.000-0.00313-eb75d7b4-fe46-4973-a49b-7a08f15912ed.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.650-010.000--093.000-0.00313-eb75d7b4-fe46-4973-a49b-7a08f15912ed.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.650-010.000--093.000-0.00313-eb75d7b4-fe46-4973-a49b-7a08f15912ed.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.650-010.000--093.000-0.00313-eb75d7b4-fe46-4973-a49b-7a08f15912ed.dat'}",60.29362666663334,0.01564560875321915,144,0.23971413871109618,0.0042515853285318254,0.47081153849231167,0.024279049455366998,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
a3c0b2f7-2f6a-4f9b-bb23-b66e06c3582f,0.15,-93.0,0.9,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.900-010.000--093.000-0.00313-a3c0b2f7-2f6a-4f9b-bb23-b66e06c3582f.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.900-010.000--093.000-0.00313-a3c0b2f7-2f6a-4f9b-bb23-b66e06c3582f.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.900-010.000--093.000-0.00313-a3c0b2f7-2f6a-4f9b-bb23-b66e06c3582f.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.900-010.000--093.000-0.00313-a3c0b2f7-2f6a-4f9b-bb23-b66e06c3582f.dat'}",60.59139166681666,0.018460457593621464,144,0.2475267772679068,0.004263161255748732,0.18043991085772665,0.016545131659393517,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
2b3f0d57-88d7-43f1-bc3c-fa3d2dbe61af,0.15,-93.0,0.85,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.850-010.000--093.000-0.00313-2b3f0d57-88d7-43f1-bc3c-fa3d2dbe61af.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.850-010.000--093.000-0.00313-2b3f0d57-88d7-43f1-bc3c-fa3d2dbe61af.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.850-010.000--093.000-0.00313-2b3f0d57-88d7-43f1-bc3c-fa3d2dbe61af.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.850-010.000--093.000-0.00313-2b3f0d57-88d7-43f1-bc3c-fa3d2dbe61af.dat'}",60.473647777850005,0.01836496978707087,144,0.2514949495125198,0.0044517299328644,0.26940384088908,0.02616887421692324,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
01d1aa3e-7ae0-4ab6-b6cd-c371d0eb59f4,0.15,-93.0,0.95,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.950-010.000--093.000-0.00313-01d1aa3e-7ae0-4ab6-b6cd-c371d0eb59f4.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.950-010.000--093.000-0.00313-01d1aa3e-7ae0-4ab6-b6cd-c371d0eb59f4.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.950-010.000--093.000-0.00313-01d1aa3e-7ae0-4ab6-b6cd-c371d0eb59f4.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.950-010.000--093.000-0.00313-01d1aa3e-7ae0-4ab6-b6cd-c371d0eb59f4.dat'}",60.7304033335,0.019972067126248945,144,0.27843369041366967,0.004723809949038766,0.15494478970774167,0.010392978633082063,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
6306da68-6bb4-416f-8847-987dbc7eafad,0.15,-93.0,0.75,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.750-010.000--093.000-0.00313-6306da68-6bb4-416f-8847-987dbc7eafad.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.750-010.000--093.000-0.00313-6306da68-6bb4-416f-8847-987dbc7eafad.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.750-010.000--093.000-0.00313-6306da68-6bb4-416f-8847-987dbc7eafad.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.750-010.000--093.000-0.00313-6306da68-6bb4-416f-8847-987dbc7eafad.dat'}",60.59564777746667,0.017600720797891094,144,0.27373995632357095,0.004625969354414568,0.3450549514138634,0.01785932829889568,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
c7d39801-9616-4221-b860-e4f10d40b904,0.15,-93.0,0.87,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.870-010.000--093.000-0.00313-c7d39801-9616-4221-b860-e4f10d40b904.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.870-010.000--093.000-0.00313-c7d39801-9616-4221-b860-e4f10d40b904.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.870-010.000--093.000-0.00313-c7d39801-9616-4221-b860-e4f10d40b904.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.870-010.000--093.000-0.00313-c7d39801-9616-4221-b860-e4f10d40b904.dat'}",60.72513055543334,0.018137099164475187,144,0.24283388549476384,0.00416029395398344,0.21718170069927836,0.0191990276896488,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
93985a53-c1a6-4780-a6f2-9b0ab255d358,0.15,-93.0,0.58,"{'log': '/home/sang/UVM/H4large/OUTPUT/gce-log-00.580-010.000--093.000-0.00313-93985a53-c1a6-4780-a6f2-9b0ab255d358.dat', 'estimator': '/home/sang/UVM/H4large/OUTPUT/gce-estimator-00.580-010.000--093.000-0.00313-93985a53-c1a6-4780-a6f2-9b0ab255d358.dat', 'super': '/home/sang/UVM/H4large/OUTPUT/gce-super-00.580-010.000--093.000-0.00313-93985a53-c1a6-4780-a6f2-9b0ab255d358.dat', 'planeavedensity': '/home/sang/UVM/H4large/OUTPUT/gce-planeavedensity-00.580-010.000--093.000-0.00313-93985a53-c1a6-4780-a6f2-9b0ab255d358.dat'}",60.093568888750006,0.014418976841016775,144,0.22785127954889312,0.003997550163919162,0.6010531857725333,0.040204341922803144,6000,6000,"[33.94127, 29.394, 10.0]",N/A,N/A
